ok,provider,model,preset_id,preset_title,simulation_type,sample_size,run_id,status,elapsed_seconds,seconds_per_response,responses_per_minute,total_responses,parse_failed,parse_success_rate,sample_quality_grade,overall_grade,metric_keys_json,result_json_path,sqlite_path,error
True,gemini,gemini-3-flash-preview,galaxy-creative,Galaxy 광고 크리에이티브 비교,creative_testing,10,e7fffa30-24d5-4afa-a8dd-90b72ab981a8,completed,12.349,1.235,48.59,10,0,100.0,C,C,"[""choice_counts"", ""choice_pct"", ""creatives"", ""reasons_by_choice""]",docs/verification/model-comparison-20260504T060621Z/run-results/gemini-gemini-3-flash-preview-galaxy-creative-10-e7fffa30-24d5-4afa-a8dd-90b72ab981a8.json,/Users/qts/obsidian-org-knowledge/org/organization/product/waterfall.run/koresim/docs/verification/model-comparison-20260504T060621Z/experiment.sqlite3,
True,gemini,gemini-3-flash-preview,galaxy-creative,Galaxy 광고 크리에이티브 비교,creative_testing,50,f2463d57-00a9-4cdd-abbe-76e9f321584f,completed,54.894,1.098,54.65,50,0,100.0,A,A,"[""choice_counts"", ""choice_pct"", ""creatives"", ""reasons_by_choice""]",docs/verification/model-comparison-20260504T060621Z/run-results/gemini-gemini-3-flash-preview-galaxy-creative-50-f2463d57-00a9-4cdd-abbe-76e9f321584f.json,/Users/qts/obsidian-org-knowledge/org/organization/product/waterfall.run/koresim/docs/verification/model-comparison-20260504T060621Z/experiment.sqlite3,
True,ollama,gemma3:27b,galaxy-creative,Galaxy 광고 크리에이티브 비교,creative_testing,10,4a283e32-fc3d-45e2-9d0f-783277583b5f,completed,43.731,4.373,13.72,10,0,100.0,C,C,"[""choice_counts"", ""choice_pct"", ""creatives"", ""reasons_by_choice""]",docs/verification/model-comparison-20260504T060621Z/run-results/ollama-gemma3-27b-galaxy-creative-10-4a283e32-fc3d-45e2-9d0f-783277583b5f.json,/Users/qts/obsidian-org-knowledge/org/organization/product/waterfall.run/koresim/docs/verification/model-comparison-20260504T060621Z/experiment.sqlite3,
True,ollama,gemma3:27b,galaxy-creative,Galaxy 광고 크리에이티브 비교,creative_testing,50,67c0a7a5-7c1e-400e-ba94-c491b52de902,completed,189.892,3.798,15.8,50,0,100.0,A,A,"[""choice_counts"", ""choice_pct"", ""creatives"", ""reasons_by_choice""]",docs/verification/model-comparison-20260504T060621Z/run-results/ollama-gemma3-27b-galaxy-creative-50-67c0a7a5-7c1e-400e-ba94-c491b52de902.json,/Users/qts/obsidian-org-knowledge/org/organization/product/waterfall.run/koresim/docs/verification/model-comparison-20260504T060621Z/experiment.sqlite3,
